"fecha","variable","valor usd oficial","porcentaje","total"
"2024-04-30","ITEC ACTIVOS","847579","108.385","782007"
"2024-04-30","ITEC PASIVOS","65572.7","8.38518","782007"
"2024-04-30","ITEC TOTAL","782007","100","782007"
"2024-05-31","ITEC BANCO FUTURO","-4004.31","-0.5114","782947"
"2024-05-31","ITEC GASTOS INFRAESTRUCTURA","0","0","782947"
"2024-05-31","EG VENTAS","131745","9.6628","1363430"
"2024-05-31","EG GASTOS INFRAESTRUCTURA","0","0","1363430"
"2024-05-31","EG ACTIVOS","1419070","104.081","1363430"
"2024-05-31","EG PASIVOS","55634.5","4.0805","1363430"
"2024-05-31","ITEC SUELDOS","0","0","782947"
"2024-05-31","ITEC GASTOS","0","0","782947"
"2024-05-31","EG CUENTAS","136483","10.0103","1363430"
"2024-05-31","EG PEDIDOS PENDIENTES","23316.7","1.7102","1363430"
"2024-05-31","EG DEUDAS PROVEEDORES","55634.5","4.0805","1363430"
"2024-05-31","EG CAJA USD","49541.4","3.6336","1363430"
"2024-05-31","EG SUELDOS","0","0","1363430"
"2024-05-31","EG IMPUESTOS","0","0","1363430"
"2024-05-31","EG SERVICIOS","0","0","1363430"
"2024-05-31","EG GASTOS","0","0","1363430"
"2024-05-31","EG COMPRAS","112789","8.2724","1363430"
"2024-05-31","ITEC DEUDAS FISCALES","861.79","0.1101","782947"
"2024-05-31","ITEC STOCK","813133","103.855","782947"
"2024-05-31","ITEC CAJA","821.46","0.1049","782947"
"2024-05-31","EG BANCO FUTURO","19544.3","1.4335","1363430"
"2024-05-31","EG CAJA","939.26","0.0689","1363430"
"2024-05-31","EG DEUDAS FISCALES","2420.9","0.1776","1363430"
"2024-05-31","ITEC PEDIDOS PENDIENTES","0","0","782947"
"2024-05-31","ITEC DEUDAS PROVEEDORES","49412.4","6.3111","782947"
"2024-05-31","ITEC CAJA USD","12385.3","1.5819","782947"
"2024-05-31","ITEC IMPUESTOS","0","0","782947"
"2024-05-31","ITEC SERVICIOS","0","0","782947"
"2024-05-31","EG STOCK","1226950","89.99","1363430"
"2024-05-31","EG DEUDAS CLIENTES","98775.7","7.2446","1363430"
"2024-05-31","ITEC PASIVOS","49412.4","6.3111","782947"
"2024-05-31","ITEC COMPRAS","21803.6","2.7848","782947"
